Symbol 1,Symbol 2,Symbol 3,Payout
SEVEN,CLOVER,1X BAR,0.77777
SEVEN,CLOVER,2X BAR,0.99999
SEVEN,CLOVER,3X BAR,1.1111
SEVEN,CLOVER,SEVEN,7.77777
SEVEN,CLOVER,BELL,0.77777
SEVEN,CLOVER,CHERRY,0.77777
SEVEN,CLOVER,CLOVER,0.77777
SEVEN,CLOVER,GEM,0.77777
SEVEN,CLOVER,JACKPOT,0.77777
SEVEN,CLOVER,LEMON,0.77777
SEVEN,GEM,1X BAR,0.77777
SEVEN,GEM,2X BAR,0.99999
SEVEN,GEM,3X BAR,1.1111
SEVEN,GEM,SEVEN,7.77777
SEVEN,GEM,BELL,0.77777
SEVEN,GEM,CHERRY,0.77777
SEVEN,GEM,CLOVER,0.77777
SEVEN,GEM,GEM,0.77777
SEVEN,GEM,JACKPOT,0.77777
SEVEN,GEM,LEMON,0.77777
SEVEN,JACKPOT,1X BAR,0.77777
SEVEN,JACKPOT,2X BAR,0.99999
SEVEN,JACKPOT,3X BAR,1.1111
SEVEN,JACKPOT,SEVEN,7.77777
SEVEN,JACKPOT,BELL,0.77777
SEVEN,JACKPOT,CHERRY,0.77777
SEVEN,JACKPOT,CLOVER,0.77777
SEVEN,JACKPOT,GEM,0.77777
SEVEN,JACKPOT,JACKPOT,0.77777
SEVEN,JACKPOT,LEMON,0.77777
SEVEN,LEMON,1X BAR,0.77777
SEVEN,LEMON,2X BAR,0.99999
SEVEN,LEMON,3X BAR,1.1111
SEVEN,LEMON,SEVEN,7.77777
SEVEN,LEMON,BELL,0.77777
SEVEN,LEMON,CHERRY,0.77777
SEVEN,LEMON,CLOVER,0.77777
SEVEN,LEMON,GEM,0.77777
SEVEN,LEMON,JACKPOT,0.77777
SEVEN,LEMON,LEMON,0.77777
BELL,1X BAR,1X BAR,1.11111
BELL,1X BAR,2X BAR,0.22222
BELL,1X BAR,3X BAR,0.33333
BELL,1X BAR,SEVEN,0.77777
BELL,1X BAR,BELL,0.0
BELL,1X BAR,CHERRY,0.0
BELL,1X BAR,CLOVER,0.0
BELL,1X BAR,GEM,0.0
BELL,1X BAR,JACKPOT,0.0
BELL,1X BAR,LEMON,0.0
BELL,2X BAR,1X BAR,0.22222
BELL,2X BAR,2X BAR,2.22222
BELL,2X BAR,3X BAR,0.55555
BELL,2X BAR,SEVEN,0.99999
BELL,2X BAR,BELL,0.22222
BELL,2X BAR,CHERRY,0.22222
BELL,2X BAR,CLOVER,0.22222
BELL,2X BAR,GEM,0.22222
BELL,2X BAR,JACKPOT,0.22222
BELL,2X BAR,LEMON,0.22222
BELL,3X BAR,1X BAR,0.33333
BELL,3X BAR,2X BAR,0.55555
BELL,3X BAR,3X BAR,3.33333
BELL,3X BAR,SEVEN,1.1111
BELL,3X BAR,BELL,0.33333
BELL,3X BAR,CHERRY,0.33333
BELL,3X BAR,CLOVER,0.33333
BELL,3X BAR,GEM,0.33333
BELL,3X BAR,JACKPOT,0.33333
BELL,3X BAR,LEMON,0.33333
BELL,SEVEN,1X BAR,0.77777
BELL,SEVEN,2X BAR,0.99999
BELL,SEVEN,3X BAR,1.1111
BELL,SEVEN,SEVEN,7.77777
BELL,SEVEN,BELL,0.77777
BELL,SEVEN,CHERRY,0.77777
BELL,SEVEN,CLOVER,0.77777
BELL,SEVEN,GEM,0.77777
BELL,SEVEN,JACKPOT,0.77777
BELL,SEVEN,LEMON,0.77777
BELL,BELL,1X BAR,0.0
BELL,BELL,2X BAR,0.22222
BELL,BELL,3X BAR,0.33333
BELL,BELL,SEVEN,0.77777
BELL,BELL,BELL,5.0
BELL,BELL,CHERRY,0.0
BELL,BELL,CLOVER,0.0
BELL,BELL,GEM,0.0
BELL,BELL,JACKPOT,0.0
BELL,BELL,LEMON,0.0
BELL,CHERRY,1X BAR,0.0
BELL,CHERRY,2X BAR,0.22222
BELL,CHERRY,3X BAR,0.33333
BELL,CHERRY,SEVEN,0.77777
BELL,CHERRY,BELL,0.0
BELL,CHERRY,CHERRY,0.0
BELL,CHERRY,CLOVER,0.0
BELL,CHERRY,GEM,0.0
BELL,CHERRY,JACKPOT,0.0
BELL,CHERRY,LEMON,0.0
BELL,CLOVER,1X BAR,0.0
BELL,CLOVER,2X BAR,0.22222
BELL,CLOVER,3X BAR,0.33333
BELL,CLOVER,SEVEN,0.77777
BELL,CLOVER,BELL,0.0
BELL,CLOVER,CHERRY,0.0
BELL,CLOVER,CLOVER,0.0
BELL,CLOVER,GEM,0.0
BELL,CLOVER,JACKPOT,0.0
BELL,CLOVER,LEMON,0.0
BELL,GEM,1X BAR,0.0
BELL,GEM,2X BAR,0.22222
BELL,GEM,3X BAR,0.33333
BELL,GEM,SEVEN,0.77777
BELL,GEM,BELL,0.0
BELL,GEM,CHERRY,0.0
BELL,GEM,CLOVER,0.0
BELL,GEM,GEM,0.0
BELL,GEM,JACKPOT,0.0
BELL,GEM,LEMON,0.0
BELL,JACKPOT,1X BAR,0.0
BELL,JACKPOT,2X BAR,0.22222
BELL,JACKPOT,3X BAR,0.33333
BELL,JACKPOT,SEVEN,0.77777
BELL,JACKPOT,BELL,0.0
BELL,JACKPOT,CHERRY,0.0
BELL,JACKPOT,CLOVER,0.0
BELL,JACKPOT,GEM,0.0
BELL,JACKPOT,JACKPOT,0.0
BELL,JACKPOT,LEMON,0.0
BELL,LEMON,1X BAR,0.0
BELL,LEMON,2X BAR,0.22222
BELL,LEMON,3X BAR,0.33333
BELL,LEMON,SEVEN,0.77777
BELL,LEMON,BELL,0.0
BELL,LEMON,CHERRY,0.0
BELL,LEMON,CLOVER,0.0
BELL,LEMON,GEM,0.0
BELL,LEMON,JACKPOT,0.0
BELL,LEMON,LEMON,0.0
CHERRY,1X BAR,1X BAR,1.11111
CHERRY,1X BAR,2X BAR,0.22222
CHERRY,1X BAR,3X BAR,0.33333
CHERRY,1X BAR,SEVEN,0.77777
CHERRY,1X BAR,BELL,0.0
CHERRY,1X BAR,CHERRY,0.0
CHERRY,1X BAR,CLOVER,0.0
CHERRY,1X BAR,GEM,0.0
CHERRY,1X BAR,JACKPOT,0.0
CHERRY,1X BAR,LEMON,0.0
CHERRY,2X BAR,1X BAR,0.22222
CHERRY,2X BAR,2X BAR,2.22222
CHERRY,2X BAR,3X BAR,0.55555
CHERRY,2X BAR,SEVEN,0.99999
CHERRY,2X BAR,BELL,0.22222
CHERRY,2X BAR,CHERRY,0.22222
CHERRY,2X BAR,CLOVER,0.22222
CHERRY,2X BAR,GEM,0.22222
CHERRY,2X BAR,JACKPOT,0.22222
CHERRY,2X BAR,LEMON,0.22222
CHERRY,3X BAR,1X BAR,0.33333
CHERRY,3X BAR,2X BAR,0.55555
CHERRY,3X BAR,3X BAR,3.33333
CHERRY,3X BAR,SEVEN,1.1111
CHERRY,3X BAR,BELL,0.33333
CHERRY,3X BAR,CHERRY,0.33333
CHERRY,3X BAR,CLOVER,0.33333
CHERRY,3X BAR,GEM,0.33333
CHERRY,3X BAR,JACKPOT,0.33333
CHERRY,3X BAR,LEMON,0.33333
CHERRY,SEVEN,1X BAR,0.77777
CHERRY,SEVEN,2X BAR,0.99999
CHERRY,SEVEN,3X BAR,1.1111
CHERRY,SEVEN,SEVEN,7.77777
CHERRY,SEVEN,BELL,0.77777
CHERRY,SEVEN,CHERRY,0.77777
CHERRY,SEVEN,CLOVER,0.77777
CHERRY,SEVEN,GEM,0.77777
CHERRY,SEVEN,JACKPOT,0.77777
CHERRY,SEVEN,LEMON,0.77777
CHERRY,BELL,1X BAR,0.0
CHERRY,BELL,2X BAR,0.22222
CHERRY,BELL,3X BAR,0.33333
CHERRY,BELL,SEVEN,0.77777
CHERRY,BELL,BELL,0.0
CHERRY,BELL,CHERRY,0.0
CHERRY,BELL,CLOVER,0.0
CHERRY,BELL,GEM,0.0
CHERRY,BELL,JACKPOT,0.0
CHERRY,BELL,LEMON,0.0
CHERRY,CHERRY,1X BAR,0.0
CHERRY,CHERRY,2X BAR,0.22222
CHERRY,CHERRY,3X BAR,0.33333
CHERRY,CHERRY,SEVEN,0.77777
CHERRY,CHERRY,BELL,0.0
CHERRY,CHERRY,CHERRY,5.0
CHERRY,CHERRY,CLOVER,0.0
CHERRY,CHERRY,GEM,0.0
CHERRY,CHERRY,JACKPOT,0.0
CHERRY,CHERRY,LEMON,0.0
CHERRY,CLOVER,1X BAR,0.0
CHERRY,CLOVER,2X BAR,0.22222
CHERRY,CLOVER,3X BAR,0.33333
CHERRY,CLOVER,SEVEN,0.77777
CHERRY,CLOVER,BELL,0.0
CHERRY,CLOVER,CHERRY,0.0
CHERRY,CLOVER,CLOVER,0.0
CHERRY,CLOVER,GEM,0.0
CHERRY,CLOVER,JACKPOT,0.0
CHERRY,CLOVER,LEMON,0.0
CHERRY,GEM,1X BAR,0.0
CHERRY,GEM,2X BAR,0.22222
CHERRY,GEM,3X BAR,0.33333
CHERRY,GEM,SEVEN,0.77777
CHERRY,GEM,BELL,0.0
CHERRY,GEM,CHERRY,0.0
CHERRY,GEM,CLOVER,0.0
CHERRY,GEM,GEM,0.0
CHERRY,GEM,JACKPOT,0.0
CHERRY,GEM,LEMON,0.0
CHERRY,JACKPOT,1X BAR,0.0
CHERRY,JACKPOT,2X BAR,0.22222
CHERRY,JACKPOT,3X BAR,0.33333
CHERRY,JACKPOT,SEVEN,0.77777
CHERRY,JACKPOT,BELL,0.0
CHERRY,JACKPOT,CHERRY,0.0
CHERRY,JACKPOT,CLOVER,0.0
CHERRY,JACKPOT,GEM,0.0
CHERRY,JACKPOT,JACKPOT,0.0
CHERRY,JACKPOT,LEMON,0.0
CHERRY,LEMON,1X BAR,0.0
CHERRY,LEMON,2X BAR,0.22222
CHERRY,LEMON,3X BAR,0.33333
CHERRY,LEMON,SEVEN,0.77777
CHERRY,LEMON,BELL,0.0
CHERRY,LEMON,CHERRY,0.0
CHERRY,LEMON,CLOVER,0.0
CHERRY,LEMON,GEM,0.0
CHERRY,LEMON,JACKPOT,0.0
CHERRY,LEMON,LEMON,0.0
CLOVER,1X BAR,1X BAR,1.11111
CLOVER,1X BAR,2X BAR,0.22222
CLOVER,1X BAR,3X BAR,0.33333
CLOVER,1X BAR,SEVEN,0.77777
CLOVER,1X BAR,BELL,0.0
CLOVER,1X BAR,CHERRY,0.0
CLOVER,1X BAR,CLOVER,0.0
CLOVER,1X BAR,GEM,0.0
CLOVER,1X BAR,JACKPOT,0.0
CLOVER,1X BAR,LEMON,0.0
CLOVER,2X BAR,1X BAR,0.22222
CLOVER,2X BAR,2X BAR,2.22222
CLOVER,2X BAR,3X BAR,0.55555
CLOVER,2X BAR,SEVEN,0.99999
CLOVER,2X BAR,BELL,0.22222
CLOVER,2X BAR,CHERRY,0.22222
CLOVER,2X BAR,CLOVER,0.22222
CLOVER,2X BAR,GEM,0.22222
CLOVER,2X BAR,JACKPOT,0.22222
CLOVER,2X BAR,LEMON,0.22222
CLOVER,3X BAR,1X BAR,0.33333
CLOVER,3X BAR,2X BAR,0.55555
CLOVER,3X BAR,3X BAR,3.33333
CLOVER,3X BAR,SEVEN,1.1111
CLOVER,3X BAR,BELL,0.33333
CLOVER,3X BAR,CHERRY,0.33333
CLOVER,3X BAR,CLOVER,0.33333
CLOVER,3X BAR,GEM,0.33333
CLOVER,3X BAR,JACKPOT,0.33333
CLOVER,3X BAR,LEMON,0.33333
CLOVER,SEVEN,1X BAR,0.77777
CLOVER,SEVEN,2X BAR,0.99999
CLOVER,SEVEN,3X BAR,1.1111
CLOVER,SEVEN,SEVEN,7.77777
CLOVER,SEVEN,BELL,0.77777
CLOVER,SEVEN,CHERRY,0.77777
CLOVER,SEVEN,CLOVER,0.77777
CLOVER,SEVEN,GEM,0.77777
CLOVER,SEVEN,JACKPOT,0.77777
CLOVER,SEVEN,LEMON,0.77777
CLOVER,BELL,1X BAR,0.0
CLOVER,BELL,2X BAR,0.22222
CLOVER,BELL,3X BAR,0.33333
